folio,foliohog,id_cagua,cagua_tipo,cagua_capa,cagua_adqu,cagua_anio,cagua_mant,cagua_tipo_desc,cagua_adqu_desc,cagua_mant_desc,cagua_capa_desc
336,1,1,7,2,1,1,4,Solar,Nuevo,No le da mantenimiento,De 50 a 60 litros (hasta 3 personas)
347,1,1,7,3,2,10,2,Solar,Usado,Cada año,De 70 a 80 litros (hasta 4 personas)
349,1,1,1,3,1,5,1,De gas con deposito,Nuevo,Cada 6 meses,De 70 a 80 litros (hasta 4 personas)
350,1,1,1,3,1,2,2,De gas con deposito,Nuevo,Cada año,De 70 a 80 litros (hasta 4 personas)
351,1,1,7,4,1,10,3,Solar,Nuevo,Cada 2 años,De 90 a 110 litros (hasta 6 personas)
352,1,1,7,3,1,3,4,Solar,Nuevo,No le da mantenimiento,De 70 a 80 litros (hasta 4 personas)
363,1,1,1,3,1,21,1,De gas con deposito,Nuevo,Cada 6 meses,De 70 a 80 litros (hasta 4 personas)
364,1,1,1,3,1,20,1,De gas con deposito,Nuevo,Cada 6 meses,De 70 a 80 litros (hasta 4 personas)
365,1,1,1,3,2,1,4,De gas con deposito,Usado,No le da mantenimiento,De 70 a 80 litros (hasta 4 personas)
367,1,1,7,3,1,2,2,Solar,Nuevo,Cada año,De 70 a 80 litros (hasta 4 personas)
